context	question	pred_answer	label	pred_verify
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What did maternal Old Norse traditions merge with?	Frankish heritage	1	0
 The Normans were famed for their martial spirit and eventually for their Christian piety, becoming exponents of the Catholic orthodoxy into which they assimilated	Who was famed for their Christian spirit?	The Normans	1	0
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	When was the French version of the word Norman first recorded?	Medieval Latin, 9th century	1	0
 They were descended from Norse ("Norman" comes from "Norseman") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia	From which countries did the Norse originate?	Denmark, Iceland and Norway	0	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	Who established a treaty with King Charles the third of France?	Rollo	1	0
The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France	What century did the Normans first gain their separate identity?	10th	0	0
 According to the Second law of thermodynamics, nonconservative forces necessarily result in energy transformations within closed systems from ordered to more random conditions as entropy increases	What is the law of thermodynamics associated with closed system heat exchange?	the Second law of thermodynamics	0	1
 They were prominent alongside Varangian and Lombard contingents in the Sicilian campaign of George Maniaces in 1038â€“40	During what campaign did the Vargian and Lombard fight?	George Maniaces	1	0
 They were descended from Norse ("Norman" comes from "Norseman") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia	From which countries did the Norse originate?	Denmark, Iceland and Norway	1	0
The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France	What century did the Normans first gain their separate identity?	10th	0	1
 They were prominent alongside Varangian and Lombard contingents in the Sicilian campaign of George Maniaces in 1038â€“40	During what campaign did the Vargian and Lombard fight?	George Maniaces	1	0
 Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066	What principality did William the conquerer found?	Norman conquest of England	1	0
 The Duchy of Normandy, which they formed by treaty with the French crown, was a great fief of medieval France, and under Richard I of Normandy was forged into a cohesive and formidable principality in feudal tenure	Who ruled the country of Normandy?	Richard I of Normandy	1	0
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What part of France were the Normans located?	north	0	0
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What was the Norman religion?	Catholicism	1	0
 The force, therefore, is related directly to the difference in potential energy between two different locations in space, and can be considered to be an artifact of the potential field in the same way that the direction and amount of a flow of water can be considered to be an artifact of the contour map of the elevation of an area	What can not be considered an artifact of the potential field?	flow of water	1	1
The Normans thereafter adopted the growing feudal doctrines of the rest of France, and worked them into a functional hierarchical system in both Normandy and in England	Who adopted the fuedel doctrines of the Normans?	the rest of France	1	0
